,url,product_name,brands,countries,image_url,image_small_url,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,categories_tags
558291,http://world-en.openfoodfacts.org/product/20460136/musztarda-dijon-kania,Musztarda Dijon,Kania,Polska,https://images.openfoodfacts.org/images/products/20460136/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20460136/front_pl.4.200.jpg,149.0,12.0,1.8,1.8,7.2,6.1,"en:groceries,en:condiments,en:sauces,en:mustards,en:dijon-mustards"
558387,http://world-en.openfoodfacts.org/product/20465384/wirjski-pilos,Wirjski,pilos,Polska,https://images.openfoodfacts.org/images/products/20465384/front_pl.10.400.jpg,https://images.openfoodfacts.org/images/products/20465384/front_pl.10.200.jpg,80.0,3.0,2.3,2.0,11.0,0.64,en:dairies
558393,http://world-en.openfoodfacts.org/product/20465834/gouda-ser-topiony-kremowy-lidl,Gouda - ser topiony kremowy,Lidl,Polska,https://images.openfoodfacts.org/images/products/20465834/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20465834/front_pl.4.200.jpg,220.0,16.0,9.0,3.0,10.0,2.0,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,pl:sery-topione"
558394,http://world-en.openfoodfacts.org/product/20465841/tyl%C5%BCycki-ser-topiony-kremowy-pilos,Tylżycki - ser topiony kremowy,"Pilos,Lidl,Sertop",Polska,https://images.openfoodfacts.org/images/products/20465841/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20465841/front_pl.4.200.jpg,220.0,16.0,9.0,3.0,10.0,2.0,pl:sery-topione
558765,http://world-en.openfoodfacts.org/product/20481131/szynka-konserwowa-kraina-w%C4%99dlin,Szynka Konserwowa,Kraina Wędlin,Polska,https://images.openfoodfacts.org/images/products/20481131/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20481131/front_pl.4.200.jpg,99.0,2.0,1.3,1.1,19.0,2.2,"en:meats,en:prepared-meats,en:hams"
558836,http://world-en.openfoodfacts.org/product/20486013/salami-pieprzowe-biedronka,Salami pieprzowe,Biedronka,Poland,https://images.openfoodfacts.org/images/products/20486013/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20486013/front_pl.4.200.jpg,414.0,36.0,1.5,0.5,20.0,3.9,"en:meats,en:prepared-meats,en:pork"
558969,http://world-en.openfoodfacts.org/product/20491475/galletas-de-almendra-mandelgeback-animex-food,"Galletas De Almendra, Mandelgebäck",Animex Food,Polska,https://images.openfoodfacts.org/images/products/20491475/front_pl.32.400.jpg,https://images.openfoodfacts.org/images/products/20491475/front_pl.32.200.jpg,512.0,25.6,61.7,37.9,7.3,0.33,"en:meats,en:prepared-meats,en:sausages,pl:kiełbasa"
559089,http://world-en.openfoodfacts.org/product/20496913/powid%C5%82a-%C5%9Bliwkowe-z-odmiany-%C5%9Bliwki-w%C4%99gierki-sympathica,Powidła śliwkowe z odmiany śliwki węgierki,Sympathica,Polska,https://images.openfoodfacts.org/images/products/20496913/front_pl.3.400.jpg,https://images.openfoodfacts.org/images/products/20496913/front_pl.3.200.jpg,218.0,0.5,51.0,51.0,1.1,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
559090,http://world-en.openfoodfacts.org/product/20496920/d%C5%BCem-wi%C5%9Bniowy-sympathica,dżem wiśniowy,sympathica,Polska,https://images.openfoodfacts.org/images/products/20496920/front_pl.3.400.jpg,https://images.openfoodfacts.org/images/products/20496920/front_pl.3.200.jpg,133.0,0.5,33.0,33.0,0.5,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:breakfasts,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams"
559134,http://world-en.openfoodfacts.org/product/20499143/mozarella-a-fette-lovilio,Mozarella a Fette,Lovilio,Polska,https://images.openfoodfacts.org/images/products/20499143/front_pl.31.400.jpg,https://images.openfoodfacts.org/images/products/20499143/front_pl.31.200.jpg,276.0,19.1,1.8,0.7,24.3,2.54,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:italian-cheeses,en:stretched-curd-cheeses,en:mozzarella"
